City ,03/02/2020,03/03/2020,03/04/2020,03/05/2020,03/06/2020,03/07/2020,03/08/2020,03/09/2020,03/10/2020,03/11/2020,03/12/2020,03/13/2020,03/14/2020,03/15/2020,03/16/2020,03/17/2020,03/18/2020,03/19/2020,03/20/2020,03/21/2020,03/22/2020,03/23/2020,03/24/2020,03/25/2020,03/26/2020,03/27/2020,03/28/2020,03/29/2020,03/30/2020,03/31/2020,04/01/2020,04/02/2020,04/03/2020,04/04/2020,04/05/2020,04/06/2020,04/07/2020,04/08/2020,04/09/2020,04/10/2020,04/11/2020,04/12/2020,04/13/2020,04/14/2020,04/15/2020,04/16/2020,04/17/2020,04/18/2020,04/19/2020,04/20/2020,04/21/2020,04/22/2020,04/23/2020,04/24/2020,04/25/2020,04/26/2020,04/27/2020,04/28/2020,04/29/2020,04/30/2020,05/01/2020,05/02/2020,05/03/2020,05/04/2020,05/05/2020,05/06/2020,05/07/2020,05/08/2020,05/09/2020,05/10/2020,05/11/2020,05/12/2020,05/13/2020,05/14/2020,05/15/2020,05/16/2020,05/17/2020,05/18/2020,05/19/2020,05/20/2020,05/21/2020,05/22/2020,05/23/2020,05/24/2020,05/25/2020,05/26/2020,05/27/2020,05/28/2020,05/29/2020,05/30/2020,05/31/2020,06/01/2020,06/02/2020,06/03/2020,06/04/2020,06/05/2020,06/06/2020,06/07/2020,06/08/2020,06/09/2020,06/10/2020,06/11/2020,06/12/2020,06/13/2020,06/14/2020,06/15/2020,06/16/2020,06/17/2020,06/18/2020,06/19/2020,06/20/2020,06/21/2020,06/22/2020,06/23/2020,06/24/2020,06/25/2020,06/26/2020,06/27/2020,06/28/2020
Riyadh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,2,2,0,2,7,24,7,2,7,61,54,57,33,8,16,19,13,60,19,1,28,7,24,59,69,30,51,39,15,50,7,78,0,33,290,28,41,75,80,445,87,174,0,310,496,1122,1022,236,227,67,55,152,321,585,558,363,599,716,453,694,571,560,582,878,788,885,610,766,61,710,70,237,309,369,240,267,349,487,927,1977,405,240,314,376,686,952,1481,1588,485,3165,1249,674,618,387
Jeddah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,2,6,28,45,3,6,28,1,0,2,0,4,11,3,4,9,20,20,13,8,4,7,9,26,0,12,19,23,54,0,75,61,0,49,149,90,180,212,175,444,63,116,123,92,430,254,680,423,305,85,999,223,327,369,255,189,402,854,391,660,593,248,590,188,225,531,174,346,198,270,204,269,273,480,285,168,139,503,334,321,262,85,1180,87,1195,622,379,370,381,103,173,241
Makkah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,25,40,12,3,17,4,8,0,0,0,0,0,1,1,5,0,0,4,0,218,2,0,0,24,0,55,0,48,0,0,46,36,22,44,48,82,395,231,402,323,554,376,303,367,370,436,520,566,700,662,123,109,227,315,312,259,289,166,458,908,628,181,702,195,251,361,173,302,251,147,206,263,261,317,99,99,277,113,233,258,238,282,151,83,174,73,744,395,132,122,383,120
Dammam,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,1,13,8,1,4,2,2,0,0,2,4,0,0,2,0,5,1,6,13,3,13,25,13,4,14,7,0,0,0,0,0,4,43,21,90,56,12,17,16,128,15,435,21,78,21,57,335,60,178,119,295,262,163,262,275,221,179,173,168,39,92,14,9,52,7,5,86,41,283,210,144,214,7,60,100,20,6,257,131,119,92,100,13,86,15,6,9,6,62,239
Madinah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,14,3,6,0,6,40,0,50,63,19,42,53,0,33,8,79,286,299,163,109,86,67,181,412,72,490,370,0,1499,843,370,91,339,109,278,279,349,264,358,25,203,412,182,77,176,75,154,54,39,50,38,55,84,47,24,129,110,97,206,190,36,55,131,246,130,210,127,106,44,201,130
Hufof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,0,1,0,0,0,1,1,6,5,0,0,3,0,3,0,18,0,54,6,9,6,6,13,18,56,41,22,21,81,48,35,182,186,35,34,357,146,147,48,161,62,123,78,206,127,2,60,99,273,0,90,48,4,0,242,60,1,92,67,133,61,74,95,14,276,54,56,54,52,294,90,66,18,178,883,326,5,42,154,55,233
Qattif,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,1,0,2,2,10,0,3,2,10,20,3,0,8,2,3,18,3,27,27,19,2,10,0,0,14,0,0,10,4,2,0,0,0,1,0,4,0,0,0,0,1,0,1,21,16,7,13,17,39,30,19,4,31,79,32,63,25,22,12,2,21,4,1,21,22,65,20,76,108,5,18,25,6,0,100,112,78,86,65,3,51,11,1,1,2,234,120
Khobar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,1,0,9,5,7,3,1,0,0,8,0,0,5,5,3,0,0,0,0,0,23,93,1,28,0,39,50,2,38,20,63,56,28,240,60,96,109,30,78,54,128,7,42,7,4,31,5,20,43,12,84,72,77,90,9,49,36,5,2,79,47,88,59,51,4,72,10,2,4,15,136,77
Taif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,1,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,54,0,15,0,0,0,0,7,9,0,48,0,1,25,2,0,87,0,0,59,0,7,7,21,77,80,51,68,43,86,161,67,0,275,112,33,49,14,3,26,0,1,78,12,42,24,22,35,14,181,222,45,108,110,73,74,62,66,28,3,30,11,28
Jubail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,0,4,0,0,0,1,0,0,16,14,1,4,26,94,3,56,0,103,75,69,73,143,85,78,490,280,63,68,17,60,75,70,30,7,40,12,22,7,38,28,56,23,99,99,71,89,3,19,26,2,0,66,32,49,16,29,0,20,0,0,0,0,145,87
